[2018-06-14 12:43:12,618] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,635] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,670] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,690] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,725] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,775] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,789] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,810] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,825] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,834] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,858] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,871] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,884] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,913] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,925] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,935] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,943] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,963] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,974] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,999] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,077] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,085] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,100] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,108] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,116] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,125] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,136] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,144] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,154] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,165] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,174] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,188] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,204] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,213] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,221] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,230] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,247] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,260] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,271] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
